timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
ATVI.OQ,0.022,0.929,0.352,0.061,0.063,0.038,0.349,0.808,0.956,0.949,0.39,0.871,0.065,0.222,0.194,0.713,0.873,0.176,0.523,0.745,0.182,0.899,0.339,0.044,0.105,0.659,0.505,0.002
IEX.N,0.321,0.543,0.527,0.406,0.162,0.218,0.592,0.727,0.707,0.709,0.541,0.655,0.37,0.442,0.289,0.642,0.806,0.174,0.754,0.289,0.075,0.111,0.378,0.168,0.216,0.384,0.604,0.956
ABC.N,0.061,0.905,0.855,0.19,0.065,0.061,0.794,0.968,0.899,0.937,0.784,0.986,0.071,0.834,0.087,0.248,0.004,0.424,0.036,0.545,0.884,0.43,0.956,0.081,0.84,0.537,0.475,0.188
ITW.N,0.339,0.754,0.632,0.372,0.329,0.248,0.436,0.81,0.634,0.618,0.614,0.725,0.358,0.709,0.386,0.867,0.699,0.246,0.952,0.776,0.137,0.608,0.467,0.23,0.436,0.604,0.939,0.408
MNST.OQ,0.18,0.794,0.382,0.204,0.152,0.121,0.485,0.911,0.762,0.871,0.402,0.788,0.141,0.576,0.265,0.903,0.895,0.024,0.82,0.713,0.772,0.703,0.869,0.16,0.99,0.085,0.281,0.978
DFS.N,0.968,0.089,0.655,0.958,0.986,0.984,0.327,0.081,0.018,0.034,0.792,0.113,0.933,0.77,0.913,0.307,0.43,0.917,0.303,0.467,0.349,0.493,0.358,0.709,0.22,0.523,0.487,0.699
BKNG.OQ,0.79,0.246,0.345,0.711,0.915,0.8,0.739,0.265,0.186,0.196,0.804,0.735,0.636,0.81,0.705,0.556,0.749,0.301,0.949,0.804,0.941,0.947,0.768,0.671,0.537,0.58,0.434,0.564
DOW.N,0.618,0.119,0.901,0.818,0.248,0.279,0.956,0.568,0.325,0.279,0.917,0.547,0.881,0.952,0.903,0.663,0.081,0.687,0.321,0.566,0.416,0.578,0.214,0.392,0.287,0.364,0.307,0.238
MSCI.N,0.602,0.404,0.079,0.168,0.626,0.576,0.143,0.202,0.733,0.602,0.048,0.18,0.305,0.077,0.269,0.872,0.996,0.267,0.036,0.586,0.009,0.515,0.646,0.729,0.099,0.121,0.095,0.947
IR.N,0.723,0.214,0.507,0.747,0.64,0.709,0.749,0.36,0.269,0.255,0.719,0.515,0.729,0.503,0.642,0.352,0.632,0.321,0.424,0.384,0.568,0.259,0.824,0.545,0.889,0.525,0.622,0.826
BKR.OQ,0.6,0.236,0.992,0.873,0.578,0.677,0.81,0.105,0.168,0.097,0.935,0.444,0.917,0.901,0.952,0.098,0.263,0.543,0.349,0.507,0.442,0.574,0.691,0.788,0.192,0.679,0.566,0.273
