Instrument,Date,Price Close,Volume,Company Market Capitalization,Price To Sales Per Share (Daily Time Series Ratio),Beta,Earnings Per Share - Actual,Price To Book Value Per Share (Daily Time Series Ratio),Forward Price To Book Value Per Share (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),Total Return,Number of Trades,Combined Alpha Model Sector Rank,Combined Alpha Model Industry Rank
GPC.N,2023-04-20 00:00:00+00:00,168.62,393933,23693747216.8,1.07231065211747,0.898542080425004,2.14,6.27000132255542,5.54215283483977,20.2879439416508,12.6172113625144,1.27327327327328,4221,84,85
GPC.N,2023-04-19 00:00:00+00:00,166.5,413581,23395854060.0,1.05882886714245,0.89867607285078,2.05,6.19117079946315,5.59663865546219,20.03287075249,12.7612994581976,0.01802126509281,3124,87,85
GPC.N,2023-04-18 00:00:00+00:00,166.47,269246,23391638590.8,1.05863808716638,0.89867607285078,2.05,6.19005527319298,5.59563025210084,20.0292612262283,12.7633620591126,0.102224894768483,2831,87,85
GPC.N,2023-04-17 00:00:00+00:00,166.3,315477,23367750932.0,1.05755700063537,0.89867607285078,2.05,6.18373395766199,5.58991596638656,20.0088072440786,12.775062736749,0.745138426122262,3122,87,85
GPC.N,2023-04-14 00:00:00+00:00,165.07,374434,23199841558.25,1.04995790673034,0.898250716999838,2.05,6.13799738058488,5.54857142857143,19.8608166673485,12.8579175833581,0.511477805516656,3389,88,89
GPC.N,2023-04-13 00:00:00+00:00,164.23,308457,23081783359.25,1.04461493319393,0.898088776394986,2.05,6.10676264502002,5.52033613445378,19.7597499320206,12.9168198068191,-1.4344016324571,2849,88,89
GPC.N,2023-04-12 00:00:00+00:00,166.62,240375,23417687044.5,1.05981696504155,0.898194404705329,2.05,6.19563290454384,5.60067226890756,20.0473088575368,12.7506273834761,0.755880752252525,2953,87,87
GPC.N,2023-04-11 00:00:00+00:00,165.37,249070,23242005200.75,1.05186611156476,0.898549686861717,2.05,6.14915264328661,5.55865546218487,19.8969119299656,12.8370110526014,0.358053161791482,2030,88,87
GPC.N,2023-04-10 00:00:00+00:00,164.78,287349,23159083370.5,1.04811330872372,0.898333523402583,2.05,6.1272139599732,5.53882352941177,19.8259245801519,12.8781920621098,1.54054720236628,2225,88,89
GPC.N,2023-04-06 00:00:00+00:00,162.28,292087,22807719683.0,1.03221160177015,0.898333523402583,2.05,6.03425343745874,5.45478991596639,19.5251307250094,13.0556599996236,0.074000986679825,2429,90,89
GPC.N,2023-04-05 00:00:00+00:00,162.16,261038,22790854226.0,1.03144831983638,0.898333523402583,2.05,6.02979133237804,5.45075630252101,19.5106926199626,13.064301565369,-1.62581897597671,2591,89,89
GPC.N,2023-04-04 00:00:00+00:00,164.84,255180,23167516099.0,1.04849494969061,0.899866674547758,2.05,6.12944501251355,5.54084033613445,19.8331436326754,12.8739920982774,-2.04421202757309,2474,88,89
GPC.N,2023-04-03 00:00:00+00:00,168.28,306466,23650992533.0,1.07037569845872,0.898838052081965,2.05,6.25735869149345,5.65647058823529,20.2470359773514,12.6376910869703,0.579762118223656,2420,88,89
MHK.N,2023-05-01 00:00:00+00:00,103.32,280311,6579375238.8,0.570748548707995,1.27691497812373,1.75,0.81231387276687,0.764828150176657,370.202055512831,36.1659446273478,-2.43626062322947,2737,83,100
MHK.N,2023-04-28 00:00:00+00:00,105.9,426639,6743668581.0,0.574561747847524,1.2711617214824,1.75,0.839823134443528,0.789037401937515,370.202055512831,31.670024301261,7.20793682931768,4709,63,80
MHK.N,2023-04-27 00:00:00+00:00,98.78,271622,6290269900.2,0.535932100589031,1.2711617214824,1.75,0.783359105007854,0.735987861788364,345.312172271553,33.3696965632972,4.13240565043222,2849,63,80
MHK.N,2023-04-26 00:00:00+00:00,94.86,151733,6040645907.4,0.514664092547839,1.2711617214824,1.32,0.752272167453381,0.706780811593888,331.608753408377,34.3857133951194,-0.638944170943751,2189,67,80
MHK.N,2023-04-25 00:00:00+00:00,95.47,154189,6079490457.3,0.517973655023636,1.26978639620343,1.32,0.757109675593235,0.711237500356662,333.741173180453,34.2235631398482,-2.77013952540992,1653,63,80
MHK.N,2023-04-24 00:00:00+00:00,98.19,126560,6252698942.1,0.532731048358342,1.27477286061242,1.32,0.778680203692257,0.731501101498069,343.24966790184,33.5187619384238,1.28945739632763,1398,64,70
MHK.N,2023-04-21 00:00:00+00:00,96.94,133612,6173099454.6,0.525949158039084,1.27263467143902,1.32,0.768767277176162,0.722188784797054,338.879955254143,33.8390201694249,-0.164778578784754,1460,65,80
MHK.N,2023-04-20 00:00:00+00:00,97.1,168332,6183288189.0,0.526817239999949,1.27233425977258,1.32,0.770036131770222,0.723380761334784,339.439278473049,33.7976859949999,-1.54126951936728,1956,65,80
MHK.N,2023-04-19 00:00:00+00:00,98.62,115174,6280081165.8,0.535064018628166,1.27265080457556,1.32,0.782090250413793,0.734704538443218,344.752849052647,33.4099898898546,0.111663790478123,1170,63,80
MHK.N,2023-04-18 00:00:00+00:00,98.51,121509,6273076410.9,0.534467212280072,1.27265080457556,1.32,0.781217912880377,0.733885054573528,344.36831433965,33.4377480444092,-0.665523847937881,1529,62,80
