timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
MTB.N,-0.044790815172354025,-0.15440819247942128,2.2406379280307434,1.9201234590999914,-0.17434847384101315,-0.08948580422746463,0.6838069679167982,0.33600569359830046,-0.9684424350588208,-0.7746875942962476,1.636121295455619,0.9533933043672166,0.623231605166974,1.0000529843817243,0.25589732759717493,-1.084,0.663,-0.076,-0.956,-0.297,-0.545,-0.434,-0.785,0.214,-0.849,0.393,0.124,-1.058
CVX.N,0.09437524082005638,-0.5726822295963555,1.9567681429248764,1.5754466126135331,-0.11494162556811816,0.5747596719703246,-0.1974287584607338,-0.11154194285723462,-0.6891685056917009,-1.2985252153997244,0.512359780195609,-0.7059994414585234,1.5229410491534263,0.10306504173841588,1.512293566285577,-0.345,-0.67,-0.831,-0.41,2.234,-0.384,1.969,1.164,-0.163,-1.325,-1.11,-0.536,-1.091
NRG.N,0.19629668237008707,-0.5388590036031441,0.6005961452495717,0.9336637391186713,-0.1044157544087959,0.2223703651803579,-0.12516103298256565,0.575908329221712,-0.7727462245314792,-0.4402878726447977,-0.02783312654689488,-0.5139706865980479,0.5647989329923752,-0.23195451385875768,0.2209257140732646,0.314,-1.799,1.172,-0.72,-1.48,-0.038,-0.471,0.142,0.479,-0.43,1.901,0.26,-1.845
CE.N,0.7906048733811474,-1.0379400196213897,1.157836000900925,1.8473454625376116,0.7209993859997014,0.9137791375594791,-0.15749225908083506,-0.8129739690029956,-1.3507409603193272,-1.6224653652809138,0.27479385969777365,-0.6842896724838848,1.1897266837598264,0.7606880301047865,0.9213940757738027,1.102,-0.923,1.667,-0.391,-1.082,-0.372,-0.79,-1.188,0.813,-0.24,0.556,0.046,0.007
KDP.OQ,-1.3682752749363518,0.3456997476608096,0.5694010573567115,-0.08726918950542158,-0.8797550216176224,-0.9156053162733395,0.38735510388863037,0.752801840526944,0.6980296992142874,0.7149829976711566,-0.12725513868633234,-0.12929552245833467,-0.10239526334987803,-0.22897632418834613,-0.16831530433706518,-0.614,0.31,0.202,-0.475,0.378,-0.16,0.487,-0.419,-1.735,-1.058,-0.899,-0.741,-0.202
WRB.N,-0.351465267867605,-0.2804214719650095,1.644932550247499,0.6636918166162228,-0.2845098927961508,-0.12301012167103446,0.4672578598711079,0.44983175375284506,-0.7308955163494576,-0.10297299610376554,0.8814793916617781,0.6251749355581631,0.12283775379567875,0.14828495800846692,-0.036470919187483436,-0.808,-0.519,-0.175,-0.14,-0.556,-0.202,-0.511,0.531,-0.782,0.923,-0.776,-0.252,-0.894
SEDG.OQ,2.3432440461034316,-1.8974032309353972,-2.4889915124907036,2.511090120866752,1.7342683033653712,1.8255876369130961,-0.7953940210924516,-1.8402978937190895,-1.4205304510531362,-2.4128061633015374,-1.3396323262769307,-2.3922862875465385,1.5325178605521759,-0.5059619812814637,1.8656054037578824,0.152,0.873,-1.206,0.761,-0.738,0.4,0.583,0.995,2.535,-0.063,1.286,-0.179,1.322
CPT.N,0.0004918176627748854,0.25349305105310516,0.4974760896471023,0.2624251732832502,0.24085002858416427,0.42316803868106917,-0.637212134451626,-0.3072761159971804,-0.6862160345862348,-0.3765281921806913,-0.5459926886160187,-0.5033755490461356,-0.1103345744273874,-0.38197182301842725,-0.16806955664929474,-1.01,1.473,0.363,-0.33,-1.012,0.5,-1.407,-0.355,-0.762,1.257,-0.234,-0.752,-1.561
HUM.N,-0.13584666821953312,-0.1432984061412912,0.4231588668836806,-0.37250480206547665,-0.06717207768832936,0.19504044741694418,-0.4947540974576135,0.19032817731169197,-0.33708059999054546,0.028346649787269446,-0.3497348377818561,-0.36981904168508417,-0.04792106407835076,-0.5910139742517723,-0.4235766615785418,-0.315,-1.29,0.067,0.112,0.619,2.644,0.399,0.595,-0.844,1.824,0.147,-0.059,-0.219
STE.N,-0.20956763761264252,0.035841364300168564,0.36215916410228643,-0.16637219940004527,0.09257090443550388,0.4024155363837234,-0.43643293958009083,-0.4929261904587969,-0.40968404316531737,-0.3456565486616458,-0.7175568471453457,-0.5755099471449648,-0.22758758988907776,-0.3910696571367417,-0.21473433612263435,-0.059,0.362,-0.125,-0.094,-0.592,1.498,-1.094,0.466,0.203,1.935,0.129,0.434,-1.172
ROST.OQ,1.0366389363765582,-1.0742045905874085,0.19169366789709552,1.582932894846165,0.5300549156288871,1.1472784339512991,-0.18611649884171425,0.054635056405366346,-1.4466838627428078,-1.1178983213085656,0.03628165120678429,-0.8368579010696731,1.1001855530733171,-0.3260818045491785,0.19598249551183752,0.517,-0.318,-0.866,0.994,0.153,0.1,-0.019,-0.336,0.889,-0.03,-0.364,-0.964,0.557
AKAM.OQ,-0.7682092116201742,0.6155598716202261,-0.4644643317390656,-1.2782712042661213,-0.5731165635231437,-0.7021724275637621,0.026082745585421094,-0.08908149070494835,0.8945149951146191,0.6289475010285256,-0.7267671617634986,-0.19433713992304097,-0.7749115877285233,-0.43362993462901595,-0.8378939952002393,0.36,0.305,-0.041,-0.104,-0.909,0.6,-0.281,-0.829,-0.113,1.082,1.859,2.122,0.802
ETSY.OQ,2.044664715865762,-1.298770701303007,-3.832516585095723,0.7600948016561686,0.7343547130706581,0.8099894430968705,-1.8057186898392203,-1.6438326685964213,-0.6971452136730424,-0.9973078189748934,-2.012822420065007,-2.493676842695567,0.8171939993519678,-0.5669221155602561,1.1834571216098009,0.865,0.957,-0.105,-1.758,-0.787,-0.947,0.461,-0.338,2.472,-0.447,2.606,1.134,2.007
FIS.N,0.26579254506810596,-0.37100858316449004,-0.20834387227122142,0.06200726957380456,0.3880861374878554,0.5359765111279876,-0.2145645863204859,-0.32153906842280316,-0.28887993234497034,-0.39392395912250705,-0.45291909616849985,-0.7471464287772895,0.35078496249800317,0.05386297644319501,0.13588696021654448,-0.567,-0.035,0.69,-1.014,0.16,0.203,0.061,-2.142,1.54,0.174,-0.655,-1.899,-0.012
DHI.N,1.333141089994158,-1.5644092303880193,-0.6520763048722321,1.841085305230506,0.4910130322015474,0.8248059424743358,-0.980717981574493,-0.4804673840715596,-1.4049320328973172,-1.1293476142162386,-1.3263944688959373,-2.080251967496532,1.1109445225521792,-0.8655243125457112,1.2233981447501996,1.56,-1.108,0.072,-0.655,-0.101,0.91,0.218,0.649,0.534,0.364,1.289,1.54,0.529
CMG.N,0.6780518039122665,-1.1550379757557176,-1.843378216677765,0.4499820463733222,0.006018156201226716,0.16267012262968733,0.1872381442134855,-0.14821843106130272,-0.39811913003972516,-0.3582147006430117,-0.526855503369339,-1.1774858448233354,0.8612465175933665,-0.7669078982891525,0.2546950652420396,0.312,0.578,-2.903,1.574,0.116,3.388,0.511,1.521,0.321,2.242,0.961,0.617,1.076
BLK.N,0.801908452354634,-0.6753681608915544,-0.2527393009827406,0.0807228545011414,0.5983554999535224,0.5046927396358438,-0.41307410709227177,-0.44378496447905563,-0.636522009193968,-0.8298864229995867,-0.3641869595808784,-0.4230817316500394,0.008503547978433983,-0.020922653546740375,-0.4296701180008662,-0.735,0.872,-0.898,-0.184,1.096,-1.071,0.557,-0.832,0.14,-0.393,0.25,0.853,1.385
TXT.N,1.1747373337257054,-0.9909431378618337,1.1866818309867486,1.9759656160927523,0.4814887142040532,0.6136794116560753,0.25313112150027134,-0.42466562151822357,-1.6556352381815342,-1.6987663479010908,0.7198497101491131,-0.05257269845040972,0.8691940003534854,0.39316153815390836,0.5025090685158977,-0.579,-0.907,0.277,-0.409,-0.805,-0.467,-0.82,-0.158,-0.326,-1.189,-0.009,-0.132,1.125
PLD.N,0.34660783107187193,-0.11664719731140909,-0.24235940502224,-0.1260532492302123,0.10518582723340908,0.381539981944123,-0.30798870277216667,-0.46561828148817763,-0.3076639239539191,-0.4219718828934785,-0.7764829708024514,-0.9936092656698411,0.2848016492918467,-0.5355473407768387,-0.6339620382533809,-0.534,2.593,-0.115,-0.346,1.074,0.226,0.628,0.601,0.1,0.606,-0.823,-0.071,0.059
